National Provider Identifier,Organization Name,Credentials,Gender,Entity Code,City,Zip Code,State Label,State Code,Country Code,Provider Type Label,Provider Type,Medicare Participation,Place of Service,HCPCS Code,HCPCS Description,HCPCS Drug Indicator,Number of Services,Number of Medicare Beneficiaries,Number of Medicare Beneficiary/Day Services,Average Medicare Allowed Amount,Standard Deviation of Medicare Allowed Amount,Average Submitted Charge Amount,Standard Deviation of Submitted Charge Amount,Average Medicare Payment Amount
1932190345,PELLIZZON,MD,1,1,GRAND RAPIDS,495463691,3,MI,US,14,Cardiology,Y,O,99213,"Established patient office or other outpatient visit, typically 15 minutes",N,15,15,15,67.92,0,86.8,1.6,23.22
1063457174,TERNLUND,MD,1,1,WALNUT CREEK,945983122,11,CA,US,13,Anesthesiology,Y,F,740,Anesthesia for procedure on gastrointestinal tract using an endoscope,N,17,16,17,170.85,20.98,810.97,99.58,136.68
1609851443,JACKSON,MD,2,1,MANLIUS,131042318,13,NY,US,2,Family Practice,Y,O,G0008,Administration of influenza virus vaccine,N,55,54,55,22.92,0,30,0,22.5
1871503508,ROLLER,MD,2,1,FAYETTEVILLE,727036241,12,AR,US,2,Family Practice,Y,O,99214,"Established patient office or other outpatient, visit typically 25 minutes",N,328,171,328,94.61,0,136,0,66.81
1104982453,BOVINE,MD,1,1,DAYTON,373215981,25,TN,US,2,Family Practice,Y,O,81002,"Urinalysis, manual test",N,16,15,16,3.62,0,5,0,3.62
1104819648,MOBILE QUALITY DIAGNOSTIC CORP,O,3,2,HIALEAH,330127021,1,FL,US,48,Portable X-ray,Y,O,73130,"X-ray of hand, minimum of 3 views",N,25,24,25,34.61,5.18,64.12,0,27.68
1417975186,MITCHELL,MD,1,1,AUBURN,368306471,24,AL,US,1,Internal Medicine,Y,F,99238,"Hospital discharge day management, 30 minutes or less",N,66,61,66,65.62,0,97,0,52.5
1518934694,HUTCHINSON,MD,1,1,TALLAHASSEE,323084470,1,FL,US,20,Orthopedic Surgery,Y,O,73560,"X-ray of knee, 1 or 2 views",N,24,21,23,31.95,0,73,0,24.88
1962406439,BOTTI,MD,1,1,COLUMBUS,432143467,31,OH,US,14,Cardiology,Y,O,99213,"Established patient office or other outpatient visit, typically 15 minutes",N,123,111,123,68.47,0,126,0,45.99
1548321649,OH,MD,1,1,TOMS RIVER,8753,5,NJ,US,40,Psychiatry,Y,O,90801,Psychiatric interview for diagnosis,N,102,102,102,159.27,1.45,169.32,25.41,109.03
1356306336,POMPOSELLI,MD,1,1,BOSTON,21353601,7,MA,US,53,Vascular Surgery,Y,O,93970,Ultrasound scan of veins of arms or legs including assessment of compression and functional maneuvers,N,22,21,22,174.7,0,600,0,134.67
1982819702,SHUM,MD,1,1,WHITTIER,906023158,11,CA,US,26,Hematology/Oncology,Y,O,99205,"New patient office or other outpatient visit, typically 60 minutes",N,47,47,47,212.74,0,225,0,161.94
1346241601,BOWMAN,MD,2,1,ROCKY MOUNT,278042058,6,NC,US,24,Pulmonary Disease,Y,F,99233,"Subsequent hospital inpatient care, typically 35 minutes per day",N,294,141,254,96.79,0,114.71,9.1,77.13
1790967818,FOLAYAN,MD,2,1,HENDERSON,890524813,32,NV,US,1,Internal Medicine,Y,F,99220,Hospital observation care typically 70 minutes,N,11,11,11,182.73,0,395,0,146.18
1790708964,QUANDT,MD,1,1,MEQUON,530923356,23,WI,US,1,Internal Medicine,Y,F,99223,"Initial hospital inpatient care, typically 70 minutes per day",N,42,42,42,188.07,2.43,399.81,5.34,138.48
1013152743,KAUTZ,APNP,2,1,MEQUON,530972419,23,WI,US,4,Nurse Practitioner,Y,F,99214,"Established patient office or other outpatient, visit typically 25 minutes",N,29,27,29,62.13,0,87.38,5.99,40.78
1710074612,BARNARD,D O,1,1,GREENVILLE,754017852,27,TX,US,2,Family Practice,Y,F,93010,Routine electrocardiogram (EKG) using at least 12 leads with interpretation and report,N,49,49,49,8.19,0,31,0,6.15
1609870344,NELSON,D.O,1,1,NEWARK,430552303,31,OH,US,6,Neurology,Y,O,99204,"New patient office or other outpatient visit, typically 45 minutes",N,57,57,57,157.42,0,209,0,123.71
1891895934,KARAHODZIC,MD,2,1,SAINT LOUIS,631091251,16,MO,US,2,Family Practice,Y,O,71020,"X-ray of chest, 2 views, front and side",N,33,32,33,30.2,0,58,0,20.5
1396802369,O'BRIEN,PH.D.,1,1,SCOTTSDALE,852581298,29,AZ,US,47,Clinical Psychologist,Y,O,90801,Psychiatric interview for diagnosis,N,41,41,41,151.37,0,250,0,115.86
1316132582,MCMILLION,D.O.,2,1,VERMILION,440899141,31,OH,US,2,Family Practice,Y,O,G0008,Administration of influenza virus vaccine,N,43,43,43,15.87,3.63,16.72,5.29,15.87
1841397650,MICHNIK,MD,1,1,NEW YORK,100291395,13,NY,US,42,Obstetrics/Gynecology,Y,O,99213,"Established patient office or other outpatient visit, typically 15 minutes",N,13,12,13,79.36,0.8,80.56,0,63.19
1164573283,EISENSTOCK,MD,1,1,WORCESTER,16052903,7,MA,US,6,Neurology,Y,F,99215,"Established patient office or other outpatient, visit typically 40 minutes",N,15,14,15,109.05,0,358,0,79.18
1770694028,MULLINS,MD,2,1,SEATTLE,981041391,2,WA,US,5,Diagnostic Radiology,Y,O,71020,"X-ray of chest, 2 views, front and side",N,18,18,18,10.54,0,35.5,0,7.96
1982679411,SAG,MD,1,1,FERNANDINA BEACH,320343067,1,FL,US,5,Diagnostic Radiology,Y,F,72170,"X-ray of pelvis, 1 or 2 views",N,30,30,30,9.56,0.41,40.27,5.59,7.41
1710298161,DAVENPORT,PT,1,1,SIMPSONVILLE,296813247,39,SC,US,25,Physical Therapist,Y,O,97001,Physical therapy evaluation,N,67,63,67,69.89,0,134,0,50.03
1972587467,COLMENARES,MD,1,1,MINT HILL,282272800,6,NC,US,2,Family Practice,Y,O,81003,Automated urinalysis test,N,44,42,44,3.18,0,23,0,3.11
1780676619,PRIEST,MD,1,1,PAWHUSKA,740563235,26,OK,US,37,General Practice,Y,O,36415,Insertion of needle into vein for collection of blood sample,N,345,188,345,3,0,11,5.66,2.97
1932285418,FEHLAUER,MD,1,1,SANDY,840931116,35,UT,US,9,Geriatric Medicine,Y,F,99308,"Subsequent nursing facility visit, typically 15 minutes per day",N,90,57,90,63.62,0.07,100,0,50.54
1912943531,FARIHIFAR,MD,1,1,CHEVERLY,207851189,4,MD,US,1,Internal Medicine,Y,F,99223,"Initial hospital inpatient care, typically 70 minutes per day",N,337,270,337,213.47,6.18,300,0,164.43
1831385376,TINNEY,APN,2,1,DAYTON,373216082,25,TN,US,4,Nurse Practitioner,Y,O,99213,"Established patient office or other outpatient visit, typically 15 minutes",N,40,39,40,55.89,0,82.88,10.25,35.06
1821169640,SHAH,MD,1,1,BRONX,104753702,13,NY,US,14,Cardiology,Y,O,99215,"Established patient office or other outpatient, visit typically 40 minutes",N,90,72,90,158.94,0,227.94,20.12,106.35
1083615082,WINSTON,MD,2,1,VISALIA,932916142,11,CA,US,16,Emergency Medicine,Y,F,99283,"Emergency department visit, moderately severe problem",N,43,43,43,60.75,0,221.79,10.36,46.45
1942225321,SINGH,MD,1,1,GARDENA,902473511,11,CA,US,13,Anesthesiology,Y,F,99291,"Critical care delivery critically ill or injured patient, first 30-74 minutes",N,160,140,160,226.6,0,794,30.4,181.28
1629046008,FELIX,MD,2,1,HORSEHEADS,148458301,13,NY,US,20,Orthopedic Surgery,Y,O,99203,"New patient office or other outpatient visit, typically 30 minutes",N,157,157,157,102.43,3.29,315.89,523.15,74.34
1851533038,KOO,MD,2,1,IRVINE,926970001,11,CA,US,1,Internal Medicine,Y,O,99213,"Established patient office or other outpatient visit, typically 15 minutes",N,28,28,28,76.19,0,112.82,10.34,58.77
1225308463,GEER,CRNA,2,1,BETHLEHEM,180151065,15,PA,US,7,CRNA,Y,F,810,Anesthesia for procedure on small bowel using an endoscope,N,34,34,34,90.67,21.56,762.74,76.74,72.54
1346272572,SCHACHTER,MD,1,1,NEW YORK,100296501,13,NY,US,24,Pulmonary Disease,Y,O,99203,"New patient office or other outpatient visit, typically 30 minutes",N,39,39,39,117.9,0,345,0,89.49
1144202474,SHAH,MD,1,1,DODGE CITY,678016411,8,KS,US,20,Orthopedic Surgery,Y,O,76942,Ultrasonic guidance imaging supervision and interpretation for insertion of needle,N,33,25,33,187.23,0,496,0,142.55
1801864970,LANTHIEZ,MD,1,1,GALLUP,873015683,34,NM,US,5,Diagnostic Radiology,Y,F,72170,"X-ray of pelvis, 1 or 2 views",N,29,23,28,9.08,0,31,0,5.51
1710966361,JARAMILLO-DOLAN,DPM,2,1,WINTER HAVEN,338814630,1,FL,US,34,Podiatry,Y,O,99203,"New patient office or other outpatient visit, typically 30 minutes",N,213,213,213,106.04,1.45,136.58,20.54,70
1508821216,QASSAM,MD,1,1,FORT WORTH,76134,27,TX,US,16,Emergency Medicine,Y,F,99285,"Emergency department visit, problem with significant threat to life or function",N,625,588,625,165.77,0,840.9,39.14,129.25
1548436199,CARIM,MD,2,1,CHARLOTTE,282042963,6,NC,US,1,Internal Medicine,Y,O,85025,"Complete blood cell count (red cells, white blood cell, platelets), automated test",N,22,20,22,11.02,0,49,0,11.02
1275507261,ARTIS-TROWER,MD,2,1,COLLEGE PARK,207402474,4,MD,US,2,Family Practice,Y,O,99214,"Established patient office or other outpatient, visit typically 25 minutes",N,37,19,37,115.77,0,271,0,86.83
1902989247,NEW JERSEY CVS PHARMACY LLC,O,3,2,CEDAR GROVE,70091801,5,NJ,US,10,Mass Immunization Roster Biller,Y,O,Q2037,"Influenza virus vaccine, split virus, when administered to individuals 3 years of age and older, for intramuscular use (fluvirin)",Y,152,152,152,14.05,0,14.05,0,14.05
1154363554,AMINIAN,MD,1,1,LAGUNA WOODS,926372752,11,CA,US,20,Orthopedic Surgery,Y,F,99222,"Initial hospital inpatient care, typically 50 minutes per day",N,44,43,44,141.15,0,355.27,30.79,107.83
1770684797,HUNGATE,O,2,1,PEORIA,616021144,9,IL,US,5,Diagnostic Radiology,Y,F,73562,"X-ray of knee, 3 views",N,23,18,18,9.97,0,58,0,7.8
1780649368,GLEASON,MD,1,1,RIVERDALE,30296,36,GA,US,2,Family Practice,Y,O,Q2038,"Influenza virus vaccine, split virus, when administered to individuals 3 years of age and older, for intramuscular use (fluzone)",Y,30,30,30,12.55,0.62,35,0,12.55
1801887286,FEIN,MD,1,1,SOMERSET,88735002,5,NJ,US,26,Hematology/Oncology,Y,O,36415,Insertion of needle into vein for collection of blood sample,N,"1,631",566,"1,631",3,0,11.99,3.99,2.99
1730136433,LIESCHING,MD,1,1,BURLINGTON,18050001,7,MA,US,24,Pulmonary Disease,Y,F,99223,"Initial hospital inpatient care, typically 70 minutes per day",N,20,20,20,202.97,1.05,525,0,162.38
1508816372,NAIBERT,MD,1,1,BEND,977016337,19,OR,US,2,Family Practice,Y,O,99213,"Established patient office or other outpatient visit, typically 15 minutes",N,174,153,174,68.23,0,188,0,46.47
1659308237,HOZMAN,MD,1,1,SKOKIE,600761231,9,IL,US,32,Rheumatology,Y,O,99213,"Established patient office or other outpatient visit, typically 15 minutes",N,"3,426",443,"3,407",75.66,0.16,95.97,3.35,57.93
1295700599,GILHOOL,DO,1,1,YORK,174024723,15,PA,US,33,Physical Medicine and Rehabilitation,Y,O,99203,"New patient office or other outpatient visit, typically 30 minutes",N,20,20,20,101.23,0,200,0,60.74
1093752826,KUTHIALA,MD,2,1,JACKSONVILLE,322075982,1,FL,US,26,Hematology/Oncology,Y,O,96372,"Injection into tissue or muscle for therapy, diagnosis, or prevention",N,643,142,634,23.78,0,42,0,18.72
1811996036,EVANS,MD,1,1,MATTESON,604432319,9,IL,US,1,Internal Medicine,Y,O,99214,"Established patient office or other outpatient, visit typically 25 minutes",N,198,147,198,109.76,4.38,129,0,74.72
1740234582,PIZZILLO,MD,1,1,ENGLEWOOD,76314604,5,NJ,US,54,Hand Surgery,Y,O,20610,Aspiration or injection of large joint or joint capsule,N,154,112,152,78.87,8.92,193.07,33.14,60.43
1174590228,ISSAWI,MD,1,1,FLINT,485323422,3,MI,US,14,Cardiology,Y,F,99284,"Emergency department visit, problem of high severity",N,34,34,34,113.68,0,185,0,90.94
1891705521,HAMLIN,MD,1,1,MORGANTOWN,265067911,10,WV,US,20,Orthopedic Surgery,Y,O,99203,"New patient office or other outpatient visit, typically 30 minutes",N,94,94,94,100.22,0,169.06,10.38,74.7
1801801998,WALGREEN CO,O,3,2,GREENVILLE,296051750,39,SC,US,10,Mass Immunization Roster Biller,Y,O,Q2037,"Influenza virus vaccine, split virus, when administered to individuals 3 years of age and older, for intramuscular use (fluvirin)",Y,265,264,265,12.59,0,12.59,0,12.59
1841218161,PHILLIPS,MD,1,1,HUNTSVILLE,358014414,24,AL,US,32,Rheumatology,Y,O,99213,"Established patient office or other outpatient visit, typically 15 minutes",N,"2,012",919,"2,012",64.93,0,96,0,45.82
1952671349,MCDOUGLE,P.A.,1,1,ST PETERSBURG,337014814,1,FL,US,8,Physician Assistant,Y,O,99212,"Established patient office or other outpatient visit, typically 10 minutes",N,21,21,21,36.13,0,84,0,28.9
1548254204,FEDAKO,MD,2,1,VENICE,342923190,1,FL,US,20,Orthopedic Surgery,Y,O,G0439,"Annual wellness visit, includes a personalized prevention plan of service (pps), subsequent visit",N,250,250,250,109.64,0,150,0,109.64
1962582460,MANDEL,MD,2,1,WARRINGTON,189762906,15,PA,US,1,Internal Medicine,Y,O,36415,Insertion of needle into vein for collection of blood sample,N,116,85,116,3,0,29.99,2.45,3
1831354935,ONGSINGCO,MD,1,1,MEMPHIS,381344679,25,TN,US,2,Family Practice,Y,O,81002,"Urinalysis, manual test",N,109,79,109,3.62,0,22,0,3.62
1851393110,BHATEJA,MD,1,1,NEWBURGH,47630,17,IN,US,1,Internal Medicine,Y,O,99203,"New patient office or other outpatient visit, typically 30 minutes",N,119,119,119,98.44,0.31,169,0,66.52
1174788467,ALDAY,MD,2,1,FREEHOLD,77282579,5,NJ,US,2,Family Practice,Y,F,99211,"Established patient office or other outpatient visit, typically 5 minutes",N,23,11,23,9.58,0,14,0,6.33
1578658555,HAYDEL,MD,1,1,HOUMA,703604606,22,LA,US,2,Family Practice,Y,O,36415,Insertion of needle into vein for collection of blood sample,N,"1,320",577,"1,320",3,0,15.5,0,2.95
1497704886,TALLMAN,MD,1,1,AUSTELL,301061121,36,GA,US,5,Diagnostic Radiology,Y,F,93880,Ultrasound scanning of head and neck vessel blood flow (outside the brain),N,92,92,92,29.7,0,132,0,23.76
1962478818,SINGER,MD,1,1,GLENDALE,853041276,29,AZ,US,31,Gastroenterology,Y,O,99212,"Established patient office or other outpatient visit, typically 10 minutes",N,13,12,13,41.6,0,98,0,32.64
1427007202,DAO,MD,1,1,PHOENIX,850322122,29,AZ,US,15,Ophthalmology,Y,F,99223,"Initial hospital inpatient care, typically 70 minutes per day",N,30,30,30,194.33,0,216.67,10.43,147.99
1831295286,KRIVY,O,2,1,SILVER SPRING,20902,4,MD,US,14,Cardiology,Y,F,99222,"Initial hospital inpatient care, typically 50 minutes per day",N,111,109,111,145.69,0,298,0,116.55
1720063324,LAKE-BAKAAR,MD,1,1,BOSTON,2215,7,MA,US,31,Gastroenterology,Y,F,99213,"Established patient office or other outpatient visit, typically 15 minutes",N,54,42,54,51.79,0,155,0,33.96
1205855418,KHADRA,MD,1,1,LAFAYETTE,479043021,17,IN,US,39,Critical Care (Intensivists),Y,O,99213,"Established patient office or other outpatient visit, typically 15 minutes",N,247,166,247,66.68,2.55,80,0,51.15
1215010707,MORRIS,MD,1,1,MONROE,30655,36,GA,US,2,Family Practice,Y,O,Q2037,"Influenza virus vaccine, split virus, when administered to individuals 3 years of age and older, for intramuscular use (fluvirin)",Y,267,264,267,14.02,0.1,15,0,13.92
1467439919,LESNICK,MD,1,1,WILLIAMSBURG,231852505,21,VA,US,30,Neurosurgery,Y,O,99214,"Established patient office or other outpatient, visit typically 25 minutes",N,29,26,29,102.1,0,148,0,75.07
1093856635,WEINBERG,MD,1,1,WAUKESHA,531885071,23,WI,US,14,Cardiology,Y,O,99213,"Established patient office or other outpatient visit, typically 15 minutes",N,142,101,142,67.98,0,164,0,49.92
1841282076,KOSHY,MD,1,1,SARASOTA,342335064,1,FL,US,14,Cardiology,Y,F,99238,"Hospital discharge day management, 30 minutes or less",N,30,26,30,70.33,0,141,0,56.26
1043280589,FRANKLIN,MD,1,1,PLAINFIELD,605447103,9,IL,US,1,Internal Medicine,Y,F,99232,"Subsequent hospital inpatient care, typically 25 minutes per day",N,272,100,272,74.3,0,149.87,0.34,58.79
1134115264,MIRANDA,MD,2,1,SIMPSONVILLE,296815637,39,SC,US,2,Family Practice,Y,O,99203,"New patient office or other outpatient visit, typically 30 minutes",N,12,12,12,98.15,0,184,0,52.35
1407810351,FELTON,MD,1,1,PORTSMOUTH,38014174,38,NH,US,1,Internal Medicine,Y,F,99291,"Critical care delivery critically ill or injured patient, first 30-74 minutes",N,237,90,237,215.67,0,432,0,171.66
1134112410,SIERRA FLORES,MD,2,1,LAS CRUCES,880117096,34,NM,US,1,Internal Medicine,Y,O,G0180,"Physician certification for medicare-covered home health  services under a home health plan of care (patient not present), including contacts with home health agency and review of reports of patient status required by physicians to affirm the initial impl",N,18,18,18,49.85,0,100,0,37.66
1073641361,PIERCE,D.P.T.,2,1,CLARKSTON,483461526,3,MI,US,25,Physical Therapist,Y,O,97140,"Manual (physical) therapy techniques to 1 or more regions, each 15 minutes",N,364,64,345,26.61,1.51,40,0,21.23
1609852227,LAUTZENHEISER,MD,1,1,INDIANAPOLIS,462605382,17,IN,US,32,Rheumatology,Y,O,85025,"Complete blood cell count (red cells, white blood cell, platelets), automated test",N,452,240,452,11.02,0,35,0,10.89
1881695500,ROCHE-BARNETT,MD,1,1,BAYPORT,117051916,13,NY,US,1,Internal Medicine,Y,F,99308,"Subsequent nursing facility visit, typically 15 minutes per day",N,568,79,568,68.07,0,68.07,0,51.41
1679800379,WALGREEN CO,O,3,2,VIENNA,221804630,21,VA,US,10,Mass Immunization Roster Biller,Y,O,Q2037,"Influenza virus vaccine, split virus, when administered to individuals 3 years of age and older, for intramuscular use (fluvirin)",Y,321,320,321,12.59,0,12.59,0,12.59
1639125693,DEALVARE,MD,1,1,LAFAYETTE,705064600,22,LA,US,6,Neurology,Y,F,99213,"Established patient office or other outpatient visit, typically 15 minutes",N,675,389,675,46.86,0.04,52.63,1.49,34.77
1134160294,WARREN,MD,1,1,JACKSONVILLE,322166241,1,FL,US,23,Dermatology,Y,O,99212,"Established patient office or other outpatient visit, typically 10 minutes",N,"1,462","1,072","1,462",42.5,0,84,0,28.83
1306891023,CONN,PA-C,2,1,MOREHEAD,40351,41,KY,US,8,Physician Assistant,Y,O,99215,"Established patient office or other outpatient, visit typically 40 minutes",N,19,19,19,110.97,0,170,0,74.06
1548575491,ENGERS,PA-C,1,1,MUSKEGON,494441849,3,MI,US,8,Physician Assistant,Y,F,99238,"Hospital discharge day management, 30 minutes or less",N,87,87,87,57.89,0,124,0,46.15
1063444297,BARRERA,DO,1,1,FORT WORTH,761324136,27,TX,US,26,Hematology/Oncology,Y,O,96372,"Injection into tissue or muscle for therapy, diagnosis, or prevention",N,175,46,173,23.73,0,93,0,18.59
1679539365,SCHERER,DO,1,1,HANFORD,932305794,11,CA,US,19,General Surgery,Y,F,99232,"Subsequent hospital inpatient care, typically 25 minutes per day",N,96,30,96,71.36,0,157.23,115.46,57.09
1598788432,LEMASTERS,MD,1,1,SCOTTSDALE,85257,29,AZ,US,2,Family Practice,Y,O,99213,"Established patient office or other outpatient visit, typically 15 minutes",N,123,58,123,65.6,0.31,85,0,49.99
1639288830,CHAMBERS,PT,2,1,KENT,980425108,2,WA,US,25,Physical Therapist,Y,O,97001,Physical therapy evaluation,N,31,28,31,78.8,0,150.06,6.35,58.97
1710957873,MUNDAY,MD,2,1,CHATTANOOGA,374041161,25,TN,US,5,Diagnostic Radiology,Y,F,73510,X-ray of hip 2 or more views,N,52,46,46,10.43,0,27,0,6.74
1770543852,COX,D.P.M.,1,1,ROANOKE,240164703,21,VA,US,34,Podiatry,Y,O,99213,"Established patient office or other outpatient visit, typically 15 minutes",N,856,329,856,68.35,0.13,105,0,50.46
1578787735,OBRYAN,MD,1,1,WALNUT CREEK,945983017,11,CA,US,23,Dermatology,Y,O,99212,"Established patient office or other outpatient visit, typically 10 minutes",N,38,35,38,49.15,0,95,0,39.32
1285673293,LAWTON,MD,1,1,BONITA SPRINGS,341358127,1,FL,US,5,Diagnostic Radiology,Y,F,72100,"X-ray of lower and sacral spine, 2 or 3 views",N,27,27,27,12.73,0,44.33,8.22,10.18
1427055144,NASRALLAH,MD,1,1,BETHESDA,208171842,4,MD,US,15,Ophthalmology,Y,O,92014,"Eye and medical examination for diagnosis and treatment, established patient, 1 or more visits",N,410,294,410,133.97,1.8,137.81,22.57,94.06
1245348127,KILNOSKI,P.A.,2,1,COUNCIL BLUFFS,515031910,18,IA,US,8,Physician Assistant,Y,O,99214,"Established patient office or other outpatient, visit typically 25 minutes",N,21,20,21,81.37,0,203,0,62
1265459168,DRENGLER,MD,1,1,SAN ANTONIO,782293307,27,TX,US,18,Medical Oncology,Y,O,85610,"Blood test, clotting time",N,142,62,142,5.56,0,16.63,0.04,5.56
1962408302,HOLMES,MD,1,1,MERIDIAN,393014130,14,MS,US,24,Pulmonary Disease,Y,O,85025,"Complete blood cell count (red cells, white blood cell, platelets), automated test",N,263,168,263,11.01,0.03,11.69,3.04,10.54
1093073025,PARKER,NP-C,2,1,ALMA,488011012,3,MI,US,4,Nurse Practitioner,Y,O,93000,Routine EKG using at least 12 leads including interpretation and report,N,29,29,29,15.42,0,70,0,12.34
1396787495,MEADOWS,MD,1,1,CHATTANOOGA,374216046,25,TN,US,2,Family Practice,Y,O,99213,"Established patient office or other outpatient visit, typically 15 minutes",N,18,16,18,65.09,0,94.15,18.84,29.94
1902909088,LIPPMAN,MD,1,1,HARTFORD,6105,28,CT,US,42,Obstetrics/Gynecology,Y,O,G0101,Cervical or vaginal cancer screening; pelvic and clinical breast examination,N,60,60,60,40.37,0,60,0,40.37
1497713648,BERG,MD,1,1,HEBER,840323522,35,UT,US,2,Family Practice,Y,O,81002,"Urinalysis, manual test",N,19,15,19,3.62,0,5,0,3.62
1982852018,MEHTA,MD,2,1,ELIZABETH,7202,5,NJ,US,1,Internal Medicine,Y,F,99222,"Initial hospital inpatient care, typically 50 minutes per day",N,14,14,14,128.8,0,298,0,103.04
1700088366,NELSON,MD,2,1,INDIANAPOLIS,462271991,17,IN,US,1,Internal Medicine,Y,O,99214,"Established patient office or other outpatient, visit typically 25 minutes",N,203,107,203,99.01,0,200.09,17.91,66.63
1356311310,KATARIWALA,MD,1,1,MICHIGAN CITY,463603281,17,IN,US,6,Neurology,Y,O,99214,"Established patient office or other outpatient, visit typically 25 minutes",N,654,319,654,99.01,0,145,0,69.41
1770746109,LEMME,MD,1,1,SHELBYVILLE,461768846,17,IN,US,20,Orthopedic Surgery,Y,O,J3301,"Injection, triamcinolone  acetonide, not otherwise specified, 10 mg",Y,441,45,55,1.69,0.03,10.34,19.51,1.28
1710911532,KROGER LIMITED PARTNERSHIP I,O,3,2,MAYSVILLE,410568721,41,KY,US,10,Mass Immunization Roster Biller,Y,O,G0008,Administration of influenza virus vaccine,N,261,257,261,12.59,0.13,12.59,0.13,12.59
1790869311,SHERWIN,MD,1,1,BANGOR,44016616,50,ME,US,5,Diagnostic Radiology,Y,F,G0202,"Screening mammography, producing direct digital image, bilateral, all views",N,185,185,185,33.36,0,146,0,33.36
1740211739,K MART CORP,O,3,2,GREENVILLE,296171622,39,SC,US,10,Mass Immunization Roster Biller,Y,O,90662,Vaccine for influenza injection,Y,31,31,31,30.92,0,30.92,0,30.92
1356342133,WALLACH,MD,1,1,NEW YORK,100162708,13,NY,US,42,Obstetrics/Gynecology,Y,F,99214,"Established patient office or other outpatient, visit typically 25 minutes",N,468,343,468,83.85,0.19,265.33,12.18,59.77
1689671653,SUTHERLAND,MD,1,1,WATERLOO,507025047,18,IA,US,2,Family Practice,Y,O,99213,"Established patient office or other outpatient visit, typically 15 minutes",N,239,152,239,65.2,0,105.61,1.01,46.02
1003089624,CHRISTIAN,MD,1,1,ST GEORGE,847902123,35,UT,US,5,Diagnostic Radiology,Y,F,93880,Ultrasound scanning of head and neck vessel blood flow (outside the brain),N,18,18,18,29.09,0,155,0,22.46
1437130606,VANDEMARK,MD,1,1,BIG RAPIDS,493072050,3,MI,US,1,Internal Medicine,Y,O,G0008,Administration of influenza virus vaccine,N,111,110,111,22.8,0,30,0,22.8
1720260268,ASLAM,MD,2,1,HOUSTON,770302312,27,TX,US,1,Internal Medicine,Y,O,G0438,"Annual wellness visit; includes a personalized prevention plan of service (pps), initial visit",N,28,28,28,158.68,0,182.09,1.42,158.68
1548336951,SMITH,MD,1,1,MONTGOMERY,361061103,24,AL,US,1,Internal Medicine,Y,F,99238,"Hospital discharge day management, 30 minutes or less",N,102,79,102,65.62,0,76.52,2.3,51.99
1366402208,GOLD,D.O.,1,1,LANCASTER,176012104,15,PA,US,2,Family Practice,Y,O,36415,Insertion of needle into vein for collection of blood sample,N,161,118,161,3,0,8,0,2.95
1639249139,VELURY,MD,2,1,LAWTON,735055977,26,OK,US,2,Family Practice,Y,F,99233,"Subsequent hospital inpatient care, typically 35 minutes per day",N,54,20,40,94.22,0.46,115.13,24.76,75.38
1215939434,HARVEY,MD,1,1,YORK,174035049,15,PA,US,19,General Surgery,Y,F,99213,"Established patient office or other outpatient visit, typically 15 minutes",N,461,186,461,48.74,0,119,0,37.9
1972577518,KHAN,MD,2,1,VERNON,60664845,28,CT,US,22,Endocrinology,Y,F,99222,"Initial hospital inpatient care, typically 50 minutes per day",N,20,20,20,139.61,0,250,0,111.69
1801869409,WOLD,MD,1,1,ALEXANDRIA,713033538,22,LA,US,3,Otolaryngology,Y,O,99202,"New patient office or other outpatient visit, typically 20 minutes",N,17,17,17,67.16,0,205,0,42.11
1679649271,HANISSIAN,MD,1,1,COLLIERVILLE,380172562,25,TN,US,1,Internal Medicine,Y,O,83036,Hemoglobin A1C level,N,550,268,550,13.75,0,40,0,13.05
1194749648,HAWKINS-RIVERS,MD,1,1,DUNN,283345509,6,NC,US,19,General Surgery,Y,O,99212,"Established patient office or other outpatient visit, typically 10 minutes",N,180,108,180,40.17,0.19,102.89,33.13,30.19
1508805680,SCHROER,MD,1,1,HILLIARD,43026,31,OH,US,2,Family Practice,Y,O,85610,"Blood test, clotting time",N,98,12,98,5.56,0,17,0,5.56
1457487787,SWAFFORD,MD,1,1,CAPE GIRARDEAU,637012171,16,MO,US,37,General Practice,Y,O,36415,Insertion of needle into vein for collection of blood sample,N,174,119,174,3,0,3,0,3
1336179415,ARGANOZA-PRIESS,DO,2,1,CLINTON TWP,480352101,3,MI,US,2,Family Practice,Y,O,99213,"Established patient office or other outpatient visit, typically 15 minutes",N,105,51,105,73.93,0,78,0,54.88
1205934957,MILLIGAN,MD,2,1,BENTON,720153729,12,AR,US,2,Family Practice,Y,O,71020,"X-ray of chest, 2 views, front and side",N,18,18,18,27.52,0,66,0,17.65
1023077856,SEETHARAMAN,MD,2,1,ALLENTOWN,181049147,15,PA,US,32,Rheumatology,Y,O,99204,"New patient office or other outpatient visit, typically 45 minutes",N,84,84,84,155.52,0,187.68,13.92,114.73
1780781641,KONTOROVICH,OD,2,1,BROOKLYN,112301113,13,NY,US,11,Optometry,Y,O,92004,"Eye and medical examination for diagnosis and treatment, new patient, 1 or more visits",N,67,67,67,140,0,140,0,103.38
1215149265,RAMOS,MD,1,1,MIAMI,331361005,1,FL,US,6,Neurology,Y,F,99222,"Initial hospital inpatient care, typically 50 minutes per day",N,22,22,22,148.66,0,524,0,116.63
