National Provider Identifier,Organization Name,Credentials,Gender,Entity Code,City,Zip Code,State Code,Country Code,Provider Type,Medicare Participation,Place of Service,HCPCS Code,HCPCS Description,HCPCS Drug Indicator,Number of Services,Number of Medicare Beneficiaries,Number of Medicare Beneficiary/Day Services,Average Medicare Allowed Amount,Standard Deviation of Medicare Allowed Amount,Average Submitted Charge Amount,Standard Deviation of Submitted Charge Amount,Average Medicare Payment Amount
1245207919,CARTER,MD,M,I,WILMINGTON,284037021,NC,US,Orthopedic Surgery,Y,O,J3301,"Injection, triamcinolone  acetonide, not otherwise specified, 10 mg",Y,"1,451",213,311,1.69,0.02,10,0,1.28
1871802744,KRAMER,APN,F,I,NORTH AURORA,605428950,IL,US,Nurse Practitioner,Y,F,90801,Psychiatric interview for diagnosis,N,370,361,370,106.33,0.14,350,0,84.96
1396933271,YUTMEYER,PA-C,F,I,SHELBYVILLE,625651672,IL,US,Physician Assistant,Y,O,G0009,Administration of pneumococcal vaccine,N,16,16,16,22.36,0.22,22.36,0.22,22.36
1295768109,ASHTON,MD,M,I,CLEVELAND,441950001,OH,US,Pulmonary Disease,Y,F,99291,"Critical care delivery critically ill or injured patient, first 30-74 minutes",N,180,79,180,216.11,0,1240,0,171.52
1962424630,TARGET CORPORATION AND SUBSIDIARIES,O,O,O,COLLEGE STATION,778403918,TX,US,Mass Immunization Roster Biller,Y,O,G0008,Administration of influenza virus vaccine,N,30,30,30,14.01,0.19,14.01,0.19,14.01
1578591699,MILCHEV,MD,M,I,LACONIA,32462742,NH,US,Internal Medicine,Y,F,93010,Routine electrocardiogram (EKG) using at least 12 leads with interpretation and report,N,16,16,16,8.48,0,59,0,6.36
1548267172,ASHCRAFT,MD,M,I,MIAMISBURG,453422556,OH,US,Family Practice,Y,O,G0008,Administration of influenza virus vaccine,N,66,66,66,22.93,0,25,0,22.93
1245235258,STEINBERG,MD,M,I,CHEVERLY,207851451,MD,US,Pulmonary Disease,Y,O,99204,"New patient office or other outpatient visit, typically 45 minutes",N,35,35,35,179.61,0,400,0,129.33
1285649962,GALLEGO,MD,M,I,SAN DIMAS,917733537,CA,US,Internal Medicine,Y,O,99214,"Established patient office or other outpatient, visit typically 25 minutes",N,50,38,50,112.43,0,125,0,80.96
1487691671,MCGILLICUDDY,MD,M,I,BOSTON,22155321,MA,US,Emergency Medicine,Y,F,99291,"Critical care delivery critically ill or injured patient, first 30-74 minutes",N,62,61,62,231.16,0,1285.69,22.08,184.93
1245251743,BARNETT,MD,M,I,DALLAS,752461800,TX,US,Neurosurgery,Y,O,99214,"Established patient office or other outpatient, visit typically 25 minutes",N,23,21,23,104.89,0,140,0,64.99
1427080308,MOLL,MD,M,I,CHARLOTTE,282623485,NC,US,Internal Medicine,Y,O,Q2038,"Influenza virus vaccine, split virus, when administered to individuals 3 years of age and older, for intramuscular use (fluzone)",Y,105,102,105,12.77,0.62,26.05,0.21,12.77
1154324424,GROSS,MD,M,I,DANVILLE,461221411,IN,US,Gastroenterology,Y,O,99212,"Established patient office or other outpatient visit, typically 10 minutes",N,91,86,91,39.72,0.06,60,0,28.47
1568545663,ARMSTRONG,PA-C,M,I,DENTON,762106850,TX,US,Physician Assistant,Y,O,99214,"Established patient office or other outpatient, visit typically 25 minutes",N,34,30,34,86.57,2.45,170,0,54.5
1992763916,WU,MD,F,I,FRESH MEADOWS,113651902,NY,US,Internal Medicine,Y,O,90732,"Vaccine for pneumococcal polysaccharide for injection into muscle, patient 2 years or older",Y,15,15,15,60.81,4.11,64.67,4.99,60.81
1417004235,MITCHELL,MD,M,I,CONCORD,33012548,NH,US,Urology,Y,F,99213,"Established patient office or other outpatient visit, typically 15 minutes",N,355,204,355,49.99,0,62.61,12.6,38.22
1932100898,BARRETT,MD,M,I,GULFPORT,395012524,MS,US,Diagnostic Radiology,Y,F,73560,"X-ray of knee, 1 or 2 views",N,146,127,132,8.98,0.74,35.24,2.89,6.44
1902831837,MAULDIN,MD,M,I,LAUREL,394404342,MS,US,Family Practice,Y,O,99212,"Established patient office or other outpatient visit, typically 10 minutes",N,109,77,109,38.89,0,50,0,28.21
1134218837,STEFFEN,MD,M,I,KEARNEY,68845,NE,US,Vascular Surgery,Y,O,99204,"New patient office or other outpatient visit, typically 45 minutes",N,66,66,66,148.62,0,151.57,16.69,117.59
1780660035,BLACK,MD,M,I,LEXINGTON,29072,SC,US,Family Practice,Y,O,99214,"Established patient office or other outpatient, visit typically 25 minutes",N,616,232,616,97.96,0.2,236.64,29.16,66.13
1487861043,DEYOUNG,D.O.,M,I,MOUNT CLEMENS,480432920,MI,US,Cardiology,Y,O,85610,"Blood test, clotting time",N,198,33,198,5.56,0,6,0,5.39
1427059997,DEANGELIS,MD,M,I,ANDERSON,296214825,SC,US,Dermatology,Y,O,99203,"New patient office or other outpatient visit, typically 30 minutes",N,89,89,89,98.15,0,105,0,74.4
1548567407,SALAMA,MD,F,I,FREMONT,945382299,CA,US,Family Practice,Y,O,81003,Automated urinalysis test,N,25,25,25,3.18,0,13,0,3.18
1417024704,DIGBY,D.O.,F,I,PINELLAS PARK,337812111,FL,US,Internal Medicine,Y,F,99220,Hospital observation care typically 70 minutes,N,18,17,18,166.82,12.67,167.27,13.17,133.45
1043357460,HOANG,D.O.,M,I,VICTORIA,779043102,TX,US,Anesthesiology,Y,O,99213,"Established patient office or other outpatient visit, typically 15 minutes",N,393,241,393,66.35,0.23,105,0,50.25
1003067224,HEINTZ,PT,F,I,TAMPA,336126601,FL,US,Physical Therapist,Y,O,97140,"Manual (physical) therapy techniques to 1 or more regions, each 15 minutes",N,103,18,90,25.7,0.74,94,0,20.36
1508834060,PHILLIPS,MD,M,I,SARATOGA SPRINGS,12866,NY,US,Cardiology,Y,O,99215,"Established patient office or other outpatient, visit typically 40 minutes",N,84,76,84,133.95,0,145.86,22.17,102.05
1518188150,BIEHL,MD,M,I,MICHIGAN CITY,463609222,IN,US,Orthopedic Surgery,Y,O,99213,"Established patient office or other outpatient visit, typically 15 minutes",N,375,175,375,66.84,0,91,0,48.79
1053358820,PRITZ,O.D.,M,I,PLEASANTVILLE,82324129,NJ,US,Optometry,Y,O,92014,"Eye and medical examination for diagnosis and treatment, established patient, 1 or more visits",N,204,204,204,100.32,6.16,100.32,6.16,75.37
1952376311,PLEASANTS,MD,M,I,MINNEAPOLIS,554164688,MN,US,Family Practice,Y,O,G0008,Administration of influenza virus vaccine,N,42,40,42,15,0,15,0,15
1073822664,ARAGON,PA-C,M,I,COLORADO SPRINGS,809247003,CO,US,Physician Assistant,Y,O,99213,"Established patient office or other outpatient visit, typically 15 minutes",N,365,232,365,59.25,0.23,80,0,43.2
1609092881,STEWART,D.O.,M,I,YPSILANTI,48917,MI,US,Dermatology,Y,O,99203,"New patient office or other outpatient visit, typically 30 minutes",N,30,30,30,111.32,0,130,0,78.02
1699903625,HUANG,D.O.,F,I,CHESAPEAKE,233204941,VA,US,Internal Medicine,Y,F,99239,"Hospital discharge day management, more than 30 minutes",N,35,34,35,101.33,0,145,0,81.06
1508824475,BLUMENTHAL,MD,F,I,N DARTMOUTH,27471263,MA,US,Dermatology,Y,O,J3301,"Injection, triamcinolone  acetonide, not otherwise specified, 10 mg",Y,72,33,43,1.69,0.01,3,0,1.29
1912957341,PARKER,MD,M,I,FLOWOOD,392329500,MS,US,Neurology,Y,O,99214,"Established patient office or other outpatient, visit typically 25 minutes",N,161,145,161,95.71,0,124.63,2.33,72.15
1326141854,ODONNELL,MD,M,I,KERRVILLE,780286070,TX,US,Family Practice,Y,O,99214,"Established patient office or other outpatient, visit typically 25 minutes",N,232,170,232,98.9,2.05,184.76,3.6,62.04
1962487389,HERRING,PA C,M,I,TOPEKA,66615,KS,US,Physician Assistant,Y,O,99203,"New patient office or other outpatient visit, typically 30 minutes",N,75,75,75,84.53,0,140,0,59.31
1558359893,GROSSMAN,MD,M,I,CORYDON,471122172,IN,US,Family Practice,Y,F,99232,"Subsequent hospital inpatient care, typically 25 minutes per day",N,253,107,253,66.55,0.12,105,0,52.94
1568458388,PIZARRO,MD,M,I,WINDERMERE,347865423,FL,US,Diagnostic Radiology,Y,F,72170,"X-ray of pelvis, 1 or 2 views",N,45,44,45,10.9,0.4,47,0,8.73
1780795781,GOTFRYD,D.P.M.,M,I,BIRMINGHAM,352155505,AL,US,Podiatry,Y,O,99202,"New patient office or other outpatient visit, typically 20 minutes",N,163,163,163,66.55,0,70.26,1.32,47.78
1821093345,JONES,MD,M,I,MIDLAND,486406921,MI,US,Neurosurgery,Y,F,99233,"Subsequent hospital inpatient care, typically 35 minutes per day",N,13,12,13,98.2,0,145,0,78.56
1144270174,LOWDER,MD,M,I,COVINGTON,704338107,LA,US,Neurosurgery,Y,O,99213,"Established patient office or other outpatient visit, typically 15 minutes",N,25,22,25,65.54,0,115,0,47.34
1487977120,JAVED,MD,F,I,FAIRHAVEN,27195208,MA,US,Cardiology,Y,F,99214,"Established patient office or other outpatient, visit typically 25 minutes",N,22,19,22,77.54,0,150,0,62.03
1437106028,ABERNATHY,MD,M,I,DENVER,802115222,CO,US,Urology,Y,O,36415,Insertion of needle into vein for collection of blood sample,N,455,284,455,3,0,25,0,2.98
1194723148,CARTER,MD,M,I,LANSING,489102898,MI,US,Vascular Surgery,Y,F,99231,"Subsequent hospital inpatient care, typically 15 minutes per day",N,18,13,18,37.06,0,78.72,5.27,29.65
1588629059,KOC,MD,M,I,CLEVELAND,441950001,OH,US,Hematology/Oncology,Y,F,99231,"Subsequent hospital inpatient care, typically 15 minutes per day",N,35,28,35,37.76,0,168,0,30.21
1285836015,BARBIERI,MD,F,I,LANCASTER,176034154,PA,US,Internal Medicine,Y,F,99222,"Initial hospital inpatient care, typically 50 minutes per day",N,19,19,19,130.81,0,217,0,104.65
1740395524,VILLAGE SUPER MARKET OF NJ LP,O,O,O,BERNARDSVILLE,79242337,NJ,US,Mass Immunization Roster Biller,Y,O,G0008,Administration of influenza virus vaccine,N,113,113,113,6.74,0.77,6.74,0.77,6.74
1366437790,LIKVER,MD,F,I,BROOKLYN,112143303,NY,US,Physical Medicine and Rehabilitation,Y,O,99212,"Established patient office or other outpatient visit, typically 10 minutes",N,611,219,611,49.22,0,50,0,38.9
1467615559,SCHEIDT,MD,M,I,INDIANAPOLIS,462022879,IN,US,Diagnostic Radiology,Y,F,99231,"Subsequent hospital inpatient care, typically 15 minutes per day",N,33,19,33,37.73,0,116,0,30.18
1003834425,HALILI,MD,M,I,KISSIMMEE,347442307,FL,US,General Surgery,Y,O,99213,"Established patient office or other outpatient visit, typically 15 minutes",N,66,44,66,70.65,0,121,0,49.67
1295901999,ROBINSON,MD,F,I,BALTIMORE,212086391,MD,US,Urology,Y,O,99204,"New patient office or other outpatient visit, typically 45 minutes",N,47,47,47,171.3,0,291,0,128.16
1356406334,YATES,D.O.,M,I,PORTLAND,972301079,OR,US,Family Practice,Y,O,81002,"Urinalysis, manual test",N,44,35,44,3.62,0,8,0,3.62
1013995349,TARAGIN,MD,M,I,BROOKLYN,112374006,NY,US,Anesthesiology,Y,F,740,Anesthesia for procedure on gastrointestinal tract using an endoscope,N,37,36,37,131.67,52.08,1059.37,407.3,105.34
1780650614,LEE,MD,F,I,LEXINGTON,405360001,KY,US,Neurology,Y,F,99232,"Subsequent hospital inpatient care, typically 25 minutes per day",N,214,84,214,67.4,1.5,146.92,21.3,52.32
1558561720,ATTO,MD,M,I,ALLEN PARK,481012642,MI,US,Family Practice,Y,F,99223,"Initial hospital inpatient care, typically 70 minutes per day",N,279,218,279,207.46,1.49,276.01,6.82,165.15
1881626687,KNOPF,MD,M,I,SAN FRANCISCO,94118,CA,US,Hematology/Oncology,Y,O,99214,"Established patient office or other outpatient, visit typically 25 minutes",N,291,179,291,124.06,0.13,346.07,25.82,97
1730288325,BUDNITZ,MD,M,I,NASHUA,3060,NH,US,Internal Medicine,Y,O,36415,Insertion of needle into vein for collection of blood sample,N,198,127,198,3,0,12.59,3.98,3
1205932522,FUNG,MD,M,I,MILTON,21863881,MA,US,Cardiology,Y,F,99291,"Critical care delivery critically ill or injured patient, first 30-74 minutes",N,14,13,14,224.68,0,355,0,179.74
1255387031,STOCK,MD,F,I,STURGIS,57785,SD,US,Family Practice,Y,O,83036,Hemoglobin A1C level,N,66,43,66,13.19,0,39,0,13.19
1770501355,DOBBS,MD,M,I,LAWRENCEBURG,470251806,IN,US,Family Practice,Y,F,99238,"Hospital discharge day management, 30 minutes or less",N,54,41,54,67.02,0,103,0,52.63
1821250382,BROWN,D.O.,M,I,PRESCOTT VALLEY,863142245,AZ,US,Internal Medicine,Y,O,90732,"Vaccine for pneumococcal polysaccharide for injection into muscle, patient 2 years or older",Y,15,15,15,64.63,2.92,106,0,64.63
1306045190,FELDMAN,PT,M,I,PONTE VEDRA BEACH,32082,FL,US,Physical Therapist,Y,O,97001,Physical therapy evaluation,N,95,85,95,72.84,5.62,120,0,56.11
1124233846,KOTHA,MD,F,I,BEDFORD,760226932,TX,US,Endocrinology,Y,O,99202,"New patient office or other outpatient visit, typically 20 minutes",N,87,87,87,71.28,0,146.86,15.91,54.15
1811942634,KNAUFT,MD,M,I,SUFFOLK,234352663,VA,US,Orthopedic Surgery,Y,O,73630,"X-ray of foot, minimum of 3 views",N,13,13,13,31.56,0,90,0,23.31
1295708998,NOAH,MD,M,I,VENICE,342927554,FL,US,Orthopedic Surgery,Y,O,72170,"X-ray of pelvis, 1 or 2 views",N,15,15,15,24.99,6,55,0,19.99
1649347683,AFRIDI,MD,M,I,ATLANTA,303121848,GA,US,Emergency Medicine,Y,O,99202,"New patient office or other outpatient visit, typically 20 minutes",N,13,13,13,73.46,0,224,0,55.29
1083698583,ROMM,MD,M,I,BEVERLY HILLS,902112007,CA,US,Internal Medicine,Y,O,G0008,Administration of influenza virus vaccine,N,13,13,13,27.03,0,30,0,27.03
1083785117,MITCHELL,MD,M,I,GARDENDALE,350712116,AL,US,Family Practice,Y,O,Q2037,"Influenza virus vaccine, split virus, when administered to individuals 3 years of age and older, for intramuscular use (fluvirin)",Y,73,72,73,13.95,0.17,25,0,13.95
1063517860,FELDAN,MD,M,I,MT. LAUREL,8054,NJ,US,Internal Medicine,Y,O,G0439,"Annual wellness visit, includes a personalized prevention plan of service (pps), subsequent visit",N,15,15,15,119.5,0,120,0,119.5
1679542849,CHESSER,MD,M,I,ATHENS,306062293,GA,US,Internal Medicine,Y,F,99222,"Initial hospital inpatient care, typically 50 minutes per day",N,16,15,16,128.8,0,225,0,103.04
1205934213,TADROS,MD,F,I,FAIRFAX,220331744,VA,US,Dermatology,Y,O,99203,"New patient office or other outpatient visit, typically 30 minutes",N,12,12,12,118.48,0,148,0,58.45
1720076581,MAHADEV,MD,M,I,KINGSFORD,498024455,MI,US,Cardiology,Y,O,85610,"Blood test, clotting time",N,170,35,170,5.53,0,5.53,0,5.53
1659320786,ATKINSON,MD,F,I,MOBILE,366043207,AL,US,Family Practice,Y,O,81002,"Urinalysis, manual test",N,20,19,20,3.62,0,6.3,0.9,3.62
1104184118,WELLS,O,F,I,BOWIE,207154420,MD,US,Physical Therapist,Y,O,97110,"Therapeutic exercise to develop strength, endurance, range of motion, and flexibility, each 15 minutes",N,238,23,173,32.11,4.69,45,0,25.69
1588621023,RINGOLD,MD,M,I,CHRISTIANSBURG,24073,VA,US,Cardiology,Y,O,99212,"Established patient office or other outpatient visit, typically 10 minutes",N,13,13,13,41.61,0,57,0,28.17
1477506087,NOTTINGHAM,MD,M,I,OLATHE,66062,KS,US,Family Practice,Y,O,99212,"Established patient office or other outpatient visit, typically 10 minutes",N,146,55,146,39.85,0,60,0,27.24
1760440853,SHAH,MD,M,I,BERWICK,186032320,PA,US,Internal Medicine,Y,F,99291,"Critical care delivery critically ill or injured patient, first 30-74 minutes",N,62,57,62,214.02,0,513.71,13.35,159.91
1083662134,RHYANT,O,M,I,INDIANAPOLIS,462264462,IN,US,Family Practice,Y,F,99223,"Initial hospital inpatient care, typically 70 minutes per day",N,28,26,28,180.55,25.85,401.14,35.24,144.44
1275726069,BEVINS,D.O.,F,I,WISE,24293,VA,US,Internal Medicine,Y,F,99223,"Initial hospital inpatient care, typically 70 minutes per day",N,59,55,58,189.57,0,286,0,150.77
1225042419,JAY,MD,M,I,PROVIDENCE,29034923,RI,US,Emergency Medicine,Y,F,99285,"Emergency department visit, problem with significant threat to life or function",N,81,81,81,173.58,0.81,662.46,53.73,136.16
1609960764,RHEA,MD,M,I,COLUMBUS,397053014,MS,US,Orthopedic Surgery,Y,O,99214,"Established patient office or other outpatient, visit typically 25 minutes",N,253,158,253,96.68,0,169.16,14.1,71.87
1568507234,NOTICEWALA,MD,F,I,CLEVELAND,441950001,OH,US,Internal Medicine,Y,F,99238,"Hospital discharge day management, 30 minutes or less",N,12,12,12,68.61,0,280.92,3.59,52.56
1164442844,MESCHKE,D.O.,M,I,ANDOVER,670028897,KS,US,Family Practice,Y,O,93000,Routine EKG using at least 12 leads including interpretation and report,N,17,17,17,17.7,0,58.06,3.19,13.33
1184744765,FREIDEL,D.O.,M,I,MACON,635522020,MO,US,Osteopathic Manipulative Medicine,Y,O,99214,"Established patient office or other outpatient, visit typically 25 minutes",N,337,155,337,95.86,0,216,0,66.17
1568598910,MUDD,MD,F,I,BALTIMORE,212246514,MD,US,Obstetrics/Gynecology,Y,O,G0101,Cervical or vaginal cancer screening; pelvic and clinical breast examination,N,17,17,17,40.11,0,50,0,40.11
1013933233,SHIFREN,MD,M,I,SAINT LOUIS,631101032,MO,US,Pulmonary Disease,Y,O,99213,"Established patient office or other outpatient visit, typically 15 minutes",N,138,90,138,69.35,0,104.49,17.47,50.82
1366403263,LEMONS,MD,M,I,ANDOVER,67002,KS,US,Family Practice,Y,O,83036,Hemoglobin A1C level,N,250,149,250,13.75,0,31.27,3.61,13.6
1467461426,PATEL,MD,M,I,DESOTO,751152011,TX,US,Ophthalmology,Y,O,99204,"New patient office or other outpatient visit, typically 45 minutes",N,106,106,106,154.18,3.98,234.12,8.98,111.55
1730496167,SIEB,D.O.,F,I,MADISON,537191208,WI,US,Family Practice,Y,O,99213,"Established patient office or other outpatient visit, typically 15 minutes",N,64,50,64,67.6,3,133,7.93,48.55
1447204003,SPATA,PA,F,I,WEST PALM BEACH,33406,FL,US,Physician Assistant,Y,O,99214,"Established patient office or other outpatient, visit typically 25 minutes",N,17,12,17,93.36,0.36,224.12,1.91,64.08
1366456113,GANGULY,MD,M,I,SMITHTOWN,117875005,NY,US,Cardiology,Y,O,93306,"Ultrasound examination of heart including color-depicted blood flow rate, direction, and valve function",N,224,222,224,250.62,12,1547.43,468.45,192.78
1679504153,WENDELL,MD,F,I,WICHITA,672358776,KS,US,Family Practice,Y,O,99214,"Established patient office or other outpatient, visit typically 25 minutes",N,341,144,341,98.74,0,132.57,6.1,63.72
1326219569,UYGUANCO,MD,M,I,WEST ISLIP,117953105,NY,US,Cardiology,Y,F,93010,Routine electrocardiogram (EKG) using at least 12 leads with interpretation and report,N,267,201,257,9.41,0.04,30.58,4.5,7.5
1811104912,DEPUY,MD,F,I,ALLENTOWN,181036258,PA,US,Obstetrics/Gynecology,Y,O,G0101,Cervical or vaginal cancer screening; pelvic and clinical breast examination,N,25,25,25,35.73,0,39.52,11.94,35.73
1871527028,DEVABHAKTUNI,MD,M,I,BEAUMONT,777063059,TX,US,Diagnostic Radiology,Y,F,73510,X-ray of hip 2 or more views,N,63,61,61,10.84,0.01,43,0,8.06
1154475713,PLAMONDON,PA-C,M,I,CARO,487231143,MI,US,Physician Assistant,Y,O,36415,Insertion of needle into vein for collection of blood sample,N,104,85,104,3,0,4,0,3
1538347232,WALGREEN CO,O,O,O,JACKSON,53037,WI,US,Mass Immunization Roster Biller,Y,O,G0009,Administration of pneumococcal vaccine,N,11,11,11,19.4,0,19.4,0,19.4
1679595144,ELLIS,MD,M,I,ARDMORE,734011837,OK,US,Internal Medicine,Y,O,96372,"Injection into tissue or muscle for therapy, diagnosis, or prevention",N,60,29,58,21.48,0,36,0,15.5
1912972589,PATEL,MD,M,I,LAKE CITY,320554833,FL,US,Internal Medicine,Y,O,93010,Routine electrocardiogram (EKG) using at least 12 leads with interpretation and report,N,92,90,92,8.53,0,30,0,6.52
1639160120,GRIFFITH,APN NP,F,I,CLARKSVILLE,370435093,TN,US,Nurse Practitioner,Y,O,99214,"Established patient office or other outpatient, visit typically 25 minutes",N,24,24,24,82.84,0,170,0,58.67
1760495444,KLAHR,CFNP,F,I,VIRGINIA BEACH,234547311,VA,US,Nurse Practitioner,Y,O,36415,Insertion of needle into vein for collection of blood sample,N,26,25,26,3,0,3,0,3
1174572986,BELISSARY,MD,F,I,MODESTO,953560500,CA,US,Family Practice,Y,O,81002,"Urinalysis, manual test",N,19,18,19,3.62,0,18,0,3.62
1154320380,FINDLEY,MD,M,I,SPRINGFIELD,974772594,OR,US,Family Practice,Y,O,99214,"Established patient office or other outpatient, visit typically 25 minutes",N,609,272,609,99.13,0,156,0,64.69
1912965765,PARKEY,MD,M,I,HENRIETTA,763653301,TX,US,Family Practice,Y,O,81002,"Urinalysis, manual test",N,28,20,28,3.62,0,20,0,3.49
1558439687,LEWENSTEIN,MD,M,I,SANTA MONICA,904041249,CA,US,Anesthesiology,Y,F,142,Anesthesia for lens surgery,N,73,69,73,155.81,16.01,674.38,71.63,124.65
1629230305,VANIA,MD,M,I,PHILADELPHIA,191522029,PA,US,Nephrology,Y,O,99215,"Established patient office or other outpatient, visit typically 40 minutes",N,18,18,18,147.61,0,271,4.12,118.09
1932177474,HOFFMAN,MD,M,I,GLEN ROSE,76043,TX,US,Family Practice,Y,F,99283,"Emergency department visit, moderately severe problem",N,73,72,73,58.61,0,631.59,37.12,46.25
1720196058,GEORGE,MD,M,I,MEMPHIS,38120,TN,US,Infectious Disease,Y,F,99291,"Critical care delivery critically ill or injured patient, first 30-74 minutes",N,35,26,35,206.29,0,300,0,165.03
1760492391,KALDAS,MD,M,I,LIVERMORE,945506004,CA,US,Internal Medicine,Y,O,G0008,Administration of influenza virus vaccine,N,34,32,34,28.92,0,35,0,28.92
1457304214,HERMUS,MD,M,I,MADISON,537151911,WI,US,Family Practice,Y,O,85025,"Complete blood cell count (red cells, white blood cell, platelets), automated test",N,13,13,13,11.02,0,93,0,11.02
1609845999,YARRISH,MD,M,I,NEW ROCHELLE,108015503,NY,US,Infectious Disease,Y,F,99222,"Initial hospital inpatient care, typically 50 minutes per day",N,22,21,22,148.54,0,375,0,118.83
1053499087,BEDNAR,N.P.,F,I,FARMVILLE,239011524,VA,US,Nurse Practitioner,Y,O,85610,"Blood test, clotting time",N,105,22,105,5.56,0,11.98,0.14,5.56
1558363853,SCHREIBER,D.O.,M,I,GRAND BLANC,484398072,MI,US,Orthopedic Surgery,Y,O,73562,"X-ray of knee, 3 views",N,262,147,215,35.77,3.09,65.5,5.66,26.73
1316920895,KELLY,MD,M,I,INGLEWOOD,90301,CA,US,Diagnostic Radiology,Y,F,G0202,"Screening mammography, producing direct digital image, bilateral, all views",N,26,26,26,36.56,0,150.84,0,36.56
1669528337,SAMS,MD,F,I,DENVER,802107009,CO,US,Family Practice,Y,O,99213,"Established patient office or other outpatient visit, typically 15 minutes",N,397,196,397,69.57,1.04,123.66,18.46,48.52
1366497471,AKWAR,MD,M,I,FORT WORTH,761338746,TX,US,General Practice,Y,O,Q2038,"Influenza virus vaccine, split virus, when administered to individuals 3 years of age and older, for intramuscular use (fluzone)",Y,27,26,27,12.47,0.59,20.37,1.89,12.47
1548202526,BLOOM,D.O.,M,I,LAS VEGAS,891022329,NV,US,Emergency Medicine,Y,F,99220,Hospital observation care typically 70 minutes,N,25,25,25,174.83,0,706.05,0,139.86
1003922915,JUTKOWITZ,MD,M,I,STATEN ISLAND,10314,NY,US,Neurology,Y,O,99214,"Established patient office or other outpatient, visit typically 25 minutes",N,780,348,780,117.11,4.83,118.29,4.92,86.44
1841223427,BROYLES,PA-C,M,I,WISCONSIN RAPIDS,554944715,WI,US,Physician Assistant,Y,F,99284,"Emergency department visit, problem of high severity",N,125,113,125,93.93,0,476.6,9.31,68.92
1720287378,PATEL,MD,M,I,GURNEE,60031,IL,US,Family Practice,Y,O,99215,"Established patient office or other outpatient, visit typically 40 minutes",N,16,14,16,149.61,0,294,0,110.82
1477571016,MEHTA,MD,M,I,HOUSTON,770301501,TX,US,General Surgery,Y,F,99221,"Initial hospital inpatient care, typically 30 minutes per day",N,14,14,14,95.63,1.52,200,0,76.5
1003910225,HSUEH,MD,M,I,ST LOUIS,63110,MO,US,General Surgery,Y,O,99212,"Established patient office or other outpatient visit, typically 10 minutes",N,12,12,12,41.32,0,58,0,30.31
1881720084,ARROYO,MD,M,I,LADY LAKE,321598957,FL,US,General Surgery,Y,F,99223,"Initial hospital inpatient care, typically 70 minutes per day",N,125,118,125,199.1,0,415.52,56.47,156.89
1396745121,BROWN,MD,M,I,TUCSON,85712,AZ,US,Hospice and Palliative Care,Y,F,99223,"Initial hospital inpatient care, typically 70 minutes per day",N,72,72,72,194.33,0,393,0,155.46
1982997698,PETERSON,PT,F,I,HUTCHINSON,675021106,KS,US,Physical Therapist,Y,O,97110,"Therapeutic exercise to develop strength, endurance, range of motion, and flexibility, each 15 minutes",N,460,77,348,28.05,1.42,58,0,22.34
1053311555,LATIMER,MD,M,I,MANASSAS,201104420,VA,US,Family Practice,Y,O,81002,"Urinalysis, manual test",N,312,232,312,3.62,0,11,0,3.6
1033324611,BROWN,MD,M,I,SPARTANBURG,29303,SC,US,Diagnostic Radiology,Y,F,93970,Ultrasound scan of veins of arms or legs including assessment of compression and functional maneuvers,N,19,19,19,31.81,0,204,0,25.45
1497725030,ARTHURS,MD,M,I,MORGANTOWN,265053478,WV,US,Internal Medicine,Y,O,99214,"Established patient office or other outpatient, visit typically 25 minutes",N,702,338,702,96.39,0,198,0,64.51
1649408501,EBSWORTH,DPM,F,I,BRANDON,335114910,FL,US,Podiatry,Y,O,99213,"Established patient office or other outpatient visit, typically 15 minutes",N,89,50,89,70.65,0,80,0,56.52
1255339826,GAMBOL,MD,M,I,LANCASTER,935344800,CA,US,Emergency Medicine,Y,F,99284,"Emergency department visit, problem of high severity",N,15,15,15,118.26,0,907,30.59,74.11
1730372236,GRIMSLEY,MD,M,I,JEFFERSON,305492708,GA,US,Family Practice,Y,O,71020,"X-ray of chest, 2 views, front and side",N,14,12,14,19.08,2.64,68.79,10.04,14.22
1417981077,OLSON,MD,M,I,CORTLAND,444109393,OH,US,Internal Medicine,Y,O,99215,"Established patient office or other outpatient, visit typically 40 minutes",N,36,24,36,135.06,0,170,0,87.73
1346285608,HIRA,DO,M,I,KNOXVILLE,379234341,TN,US,Internal Medicine,Y,O,71020,"X-ray of chest, 2 views, front and side",N,87,83,87,28.32,0,69,0,18.06
1285627406,RUNGEE,MD,M,I,MURFREESBORO,371292567,TN,US,Orthopedic Surgery,Y,O,73562,"X-ray of knee, 3 views",N,147,117,130,34.35,0,113,0,25.04
1386850964,QUINTINITA,ARNP,F,I,PORT ST JOHN,32927,FL,US,Nurse Practitioner,Y,F,99308,"Subsequent nursing facility visit, typically 15 minutes per day",N,34,27,34,56.02,0,75,0,44.82
1053346726,BAUER,MD,M,I,CHICAGO,606173983,IL,US,Diagnostic Radiology,Y,F,73562,"X-ray of knee, 3 views",N,129,98,98,11.29,0,32,0,8.23
1700841954,KWOK,MD,F,I,CLEVELAND,441950001,OH,US,Diagnostic Radiology,Y,O,71020,"X-ray of chest, 2 views, front and side",N,27,27,27,29.47,0,349,0,22.71
1245228063,FLEISCHLI,MD,F,I,DALLAS,752307891,TX,US,Dermatology,Y,O,J3301,"Injection, triamcinolone  acetonide, not otherwise specified, 10 mg",Y,173,25,32,1.69,0.02,3,0,1.3
